% Beth Kieler
% bkiel3
% 11/27/2014
%
% Title: Image Training Data
% Num of bins:  8
%
% Description:
% This is one training file for image classification to categorize images into one of seven 
% categories: Piano, Kangaroo, Strawberry, Sunflower, Airplane, Face and Leopard.  The
% data set consists of 320 training images

% Number of Attributes: 3 numeric, predictive attributes and the class
% 
% Attributes:
%    1. bin1 
%    2. bin2
%    3. bin3
%	 4. bin4
%	 5. bin5
%	 6. bin6
%	 7. bin7
%	 8. bin8
%    9. Class - Piano, Kangaroo, Strawberry, Sunflower, Airplane, Face or Leopard
%    
% Summary:
%    Piano 50   
%    Kangeroo 50   
%    Strawberry 20   
%    Sunflower 50   
%    Airplane 50   
%    Face 50   
%    Leopard 50   
%

@RELATION images

@ATTRIBUTE bin1 numeric
@ATTRIBUTE bin2 numeric
@ATTRIBUTE bin3 numeric
@ATTRIBUTE bin4 numeric
@ATTRIBUTE bin5 numeric
@ATTRIBUTE bin6 numeric
@ATTRIBUTE bin7 numeric
@ATTRIBUTE bin8 numeric
@ATTRIBUTE class 	{Piano,Kangaroo,Strawberry,Sunflower,Airplane,Face,Leopard}

@DATA
51129,36,1432,64,4269,1852,173,4645,airplane
10441,92,96,1123,4087,18936,1,31824,airplane
32427,5,43936,1914,4,3,1,910,airplane
51269,103,110,29,2321,4185,105,5778,airplane
26146,12,688,3,2887,1066,859,27139,airplane
14645,33,411,470,12,107,2,44320,airplane
36760,1269,1363,957,125,1814,1,21911,airplane
5568,1,45987,125,347,2,19,1951,airplane
10456,1054,1052,627,153,1787,877,47894,airplane
21144,5102,213,5,1070,24360,43,17583,airplane
12522,1971,80,60,244,9298,1,25324,airplane
19307,20,0,0,1229,1105,2,36108,airplane
6415,598,2,1,1,81,0,47802,airplane
40968,28,1916,5642,7705,14612,0,13171,face
24475,120,5139,2356,1652,2883,3337,73060,face
19058,143,2849,12007,2211,571,4376,60226,face
30228,433,9467,9172,1351,353,7322,45168,face
56474,0,0,0,6363,3789,45,24784,face
23376,333,972,2356,4398,3483,81,43625,face
29422,81,66,285,8221,12159,83,43639,face
30387,176,327,326,8394,4989,557,45844,face
61333,2303,4,20,12826,3746,81,17587,face
50632,88,134,705,10145,3632,55,21689,face
28705,2295,571,726,4565,11434,827,50449,face
46065,936,3045,67,2886,11143,193,31365,face
41046,11093,255,221,3023,7314,520,33341,face
35284,499,396,407,5232,6293,149,53268,face
23912,131,1022,686,3808,9127,892,49310,face
36684,29,1150,45,2375,1716,3203,46112,face
32452,480,47,340,5588,7105,940,40473,face
36522,92,4,5,3635,5336,66,44970,face
22137,9,32568,9811,729,37,2912,24808,face
29891,1061,11381,3437,3963,1143,2838,38350,face
5063,0,1459,48,4419,838,1558,74590,face
20654,968,5485,2718,4693,8891,968,50408,face
52941,535,181,11,6743,8470,354,25846,face
37496,433,4201,10048,3129,742,3865,37790,face
62815,28,4927,440,75,14,5399,25110,face
22500,3175,15,6390,9299,5624,86,28983,face
43838,4072,5,3,7594,16827,588,19484,face
53367,3,107,74,4855,350,234,29806,face
60730,134,136,2133,4977,4074,52,18204,face
39468,1232,1977,1964,1140,415,267,34537,face
47618,217,114,451,17179,5501,71,21057,face
52996,1153,350,726,4907,3044,478,28362,face
62291,152,30,30,942,1850,123,25462,face
53245,454,59,1234,3689,3492,38,26585,face
65257,117,341,887,4566,2476,731,13393,face
45745,442,2395,621,16389,8015,1042,15323,face
50168,1110,440,277,8536,6804,3152,14517,face
2231,152,200,946,13653,10064,827,54241,face
8490,92,121,639,1859,2542,499,74252,face
57636,337,5600,3613,5123,3016,951,24236,face
10983,171,60,117,9993,9013,257,43968,face
29895,1351,97,939,6339,9008,83,35325,face
27659,334,1062,1817,9056,4697,154,37457,face
47491,1008,2980,2624,7271,5862,1783,22466,face
57168,5175,649,181,2651,3081,90,24605,face
15200,52,777,1649,15935,3114,829,39976,face
37324,295,116,158,13065,9095,60,19421,face
10608,206,28,24,8160,8889,52,53933,face
42654,946,22,480,6869,9628,106,22725,face
57096,135,198,562,4344,2585,104,16948,face
23784,56,37,10,2545,4115,65,43788,kangaroo
34023,99,0,0,6728,12938,0,3512,kangaroo
45163,3156,252,983,151,788,18,26889,kangaroo
45824,0,0,0,25168,10169,0,2239,kangaroo
50260,479,150,75,3828,4473,40,12395,kangaroo
11176,418,0,0,1334,10959,160,42253,kangaroo
32246,14710,0,11,497,23268,0,18368,kangaroo
13985,0,4,0,16362,12477,23,24949,kangaroo
15152,48963,0,52,2228,7946,0,11459,kangaroo
38487,1490,238,310,1662,1785,117,6911,kangaroo
46809,8960,0,245,1748,4526,0,10312,kangaroo
72755,1082,1064,95,1917,954,591,4342,kangaroo
50985,6830,295,242,721,11216,0,5311,kangaroo
3668,1,0,0,3706,6488,0,35937,kangaroo
31832,1216,442,190,495,3231,207,29587,kangaroo
26897,252,403,140,500,1632,349,44227,kangaroo
13245,13,392,72,1497,6233,56,46292,kangaroo
34060,6831,5,1,5545,17310,137,25511,kangaroo
2145,2,22,596,1592,1638,24,68381,kangaroo
37890,306,0,0,23045,19026,0,733,kangaroo
50122,2113,216,209,530,1606,606,12098,kangaroo
56773,2,0,0,885,670,2,168,kangaroo
27646,35,0,39,5973,8872,0,30935,kangaroo
84498,704,6,38,30,457,0,1567,kangaroo
38997,4026,1820,1421,48,5403,20,19665,kangaroo
39965,5432,1144,1287,94,7113,66,26799,kangaroo
52239,1399,0,0,223,2686,0,3453,kangaroo
32125,4159,5,0,2264,16706,19,4722,kangaroo
7331,0,0,0,44348,11023,1,1797,kangaroo
18705,521,0,0,6124,21987,0,13863,kangaroo
9827,407,1,0,4679,1669,116,51101,kangaroo
40620,1286,0,0,6217,30406,0,1571,kangaroo
7501,647,834,223,97,450,4336,57312,kangaroo
30577,0,0,0,6713,3741,10,8159,kangaroo
40045,298,0,0,23278,20358,0,921,kangaroo
22415,6,18,54,10125,15397,2,7483,kangaroo
52512,225,153,75,1897,1491,183,13364,kangaroo
44530,119,0,1,2564,5846,0,8740,kangaroo
39557,1,453,0,7984,1784,339,11082,kangaroo
22718,140,0,0,12499,32400,0,3643,kangaroo
22416,4862,295,59,1913,9109,542,32204,kangaroo
64253,1917,462,346,807,2355,160,11900,kangaroo
46232,1077,30,3,1561,4398,75,29124,kangaroo
41322,15695,6,16,354,631,0,1976,kangaroo
78052,879,11,0,4447,1230,95,1386,kangaroo
32435,729,0,7,7379,6443,46,7561,kangaroo
36337,7262,0,23,6787,10193,1,21597,kangaroo
49610,1722,4,13,706,5865,0,9580,kangaroo
20614,96,0,0,9582,13966,1,15141,kangaroo
7570,0,0,0,2479,3826,0,58425,kangaroo
5277,11,0,0,1899,16594,0,795,leopard
16628,74,0,0,1885,4682,0,1307,leopard
18843,0,0,0,3370,2053,0,310,leopard
21659,684,0,0,347,1432,0,454,leopard
16212,2791,0,0,691,4387,0,495,leopard
11849,3585,0,0,673,8057,0,412,leopard
17744,1,0,0,2859,2791,0,1181,leopard
10546,9,0,0,8075,5299,0,647,leopard
8559,35,29,37,1076,1899,0,12941,leopard
16411,0,0,0,5624,2385,0,156,leopard
19148,0,0,0,3647,1747,0,34,leopard
15704,3021,0,0,642,4736,0,473,leopard
21563,30,0,0,958,1598,0,427,leopard
22479,372,0,0,398,1266,0,61,leopard
17254,429,0,0,1848,4607,0,438,leopard
20237,193,0,0,1407,2247,0,492,leopard
11264,255,92,11091,446,708,0,720,leopard
8344,1104,0,0,2241,11622,0,1265,leopard
10805,25,0,0,2137,3895,0,7714,leopard
5206,2,277,2001,3171,3912,9,9998,leopard
17888,702,0,98,20,519,0,5349,leopard
17783,0,0,0,4167,2042,0,584,leopard
14534,45,0,0,4719,5139,0,139,leopard
6526,0,594,11811,948,415,2,4280,leopard
16456,6,233,356,859,809,0,5857,leopard
14750,3,0,0,2560,5044,0,2219,leopard
10373,57,0,1,2912,6700,0,4533,leopard
18135,471,0,0,2098,3416,0,456,leopard
15773,37,0,0,2404,5199,0,1163,leopard
16532,0,0,0,2465,2979,0,2600,leopard
13354,23,2800,6557,428,668,0,746,leopard
5862,0,0,0,7825,10799,0,90,leopard
20544,4,0,0,1177,1832,0,1019,leopard
19140,0,0,0,3993,1290,0,153,leopard
16492,312,321,1430,475,773,0,4773,leopard
19025,521,0,3,613,1961,0,2453,leopard
17642,18,0,0,2654,3962,0,300,leopard
11469,8081,0,0,125,4482,0,419,leopard
16610,868,0,0,1756,4096,0,1246,leopard
17427,492,0,0,2378,3659,0,620,leopard
18482,0,0,0,4184,1636,0,274,leopard
8150,0,0,0,10017,6287,0,122,leopard
18004,656,0,0,2198,3119,0,599,leopard
17207,45,3,29,3219,3826,0,247,leopard
11439,1158,0,0,2338,8911,0,730,leopard
10647,75,918,2658,885,601,20,8772,leopard
17637,1327,0,0,556,4909,0,147,leopard
15587,0,0,0,5166,3475,0,348,leopard
20960,126,0,8,1451,1226,0,805,leopard
21751,498,0,0,471,1426,0,430,leopard
64752,1,198,11,512,423,19,1584,piano
62911,5,514,31,1371,1113,33,3922,piano
55704,694,320,2852,288,197,10,9835,piano
78595,1,3,0,532,439,15,2015,piano
60929,0,0,0,15724,2098,0,1049,piano
3324,9,213,90,75,133,31,84625,piano
29638,1,94,15,187,56,89,58420,piano
56553,124,5,4,8668,9067,0,14079,piano
35923,41,98,441,2388,1281,14,32114,piano
44924,13,905,2100,96,31,40,38891,piano
12796,90,1316,3054,73,48,30,71693,piano
27517,1,15,6,1377,604,8,56872,piano
42850,14,830,725,310,12,154,44505,piano
33515,2,0,0,7951,20629,2,17701,piano
43499,4,16,13,7530,19803,8,4427,piano
63716,1,0,1,432,472,1,1077,piano
58241,1,0,0,3461,2554,1,842,piano
58147,0,2,0,3546,4675,1,829,piano
16648,8,327,39,182,176,58,56662,piano
23306,4,8,4,1509,302,26,57641,piano
36851,18,1,1,8218,9505,2,26404,piano
29202,1,632,0,471,585,1060,51149,piano
62917,3,517,23,1368,1098,31,3943,piano
36980,89,16,3,1324,4957,17,43314,piano
1357,0,0,0,771,1886,1,68585,piano
32582,22,121,31,264,242,64,53374,piano
11891,85,598,972,141,337,18,71158,piano
27936,82,1,0,17281,2647,350,19203,piano
30824,0,0,0,2101,125,2,48848,piano
27421,33,2,6,76,715,1,61446,piano
61443,0,0,0,11344,2357,1,1355,piano
18085,0,0,0,4669,1136,34,56776,piano
57164,10,0,0,7569,4035,0,1722,piano
59676,21,9,28,11,149,0,10306,piano
24351,20,0,0,513,2892,0,54724,piano
29478,15,43,28,42,164,6,45224,piano
40273,43,1143,142,236,97,763,43103,piano
18169,0,27,0,0,3,3,67898,piano
55332,4,1096,633,1416,830,129,28460,piano
45656,454,15,29,2369,5664,27,32186,piano
31962,8,44,26,187,108,2,47763,piano
27137,0,56,13,6782,478,169,32565,piano
20902,4,1,1,1075,808,1,66308,piano
33690,22,7,20,8044,1585,29,34303,piano
12215,6,56,34,373,310,5,60801,piano
39197,4,2459,758,48,0,124,41410,piano
40637,0,0,0,2293,2705,3,39562,piano
59043,0,21,14,2,194,1,3125,piano
26656,1,0,1,6786,1782,0,32574,piano
31767,8,1,0,2214,694,0,51716,piano
7610,370,0,0,45873,12514,2,1131,strawberry
34443,483,0,1,33399,507,98,369,strawberry
30003,3,2,0,2747,263,124,32258,strawberry
30007,2,0,0,48871,951,0,1469,strawberry
54315,0,0,0,13006,146,2,31,strawberry
22148,2,10238,2010,25879,175,88,14760,strawberry
9976,0,0,0,38433,5177,0,23214,strawberry
6242,18,7,2,22880,2556,15,40280,strawberry
24274,1814,14,41,34251,1820,402,26484,strawberry
15603,175,0,2,25993,1117,0,47110,strawberry
32283,772,26,250,33060,1250,1025,9334,strawberry
7302,493,0,0,38424,0,57,27824,strawberry
30687,231,0,8,7318,306,27,36423,strawberry
5798,0,0,0,65968,226,0,8,strawberry
5721,271,45,50,15977,110,729,37097,strawberry
43898,337,0,0,30408,1147,231,11879,strawberry
16740,211,416,392,13823,12,873,35033,strawberry
12652,250,0,2,13690,780,19,39507,strawberry
30417,503,804,1272,7444,2658,343,24059,strawberry
49769,271,1,79,8779,134,145,822,strawberry
30014,2161,0,1,1958,9741,0,3825,sunflower
16598,212,147,0,7997,51303,147,9696,sunflower
10102,0,0,0,4259,41854,0,31985,sunflower
28995,1250,8641,6703,2672,11992,0,647,sunflower
39764,985,11512,7393,908,18644,2,3892,sunflower
38393,641,11,6,4849,6756,11,31233,sunflower
42751,4,0,0,6969,11173,0,3,sunflower
34469,530,1802,1514,3421,22762,867,2135,sunflower
30031,53,338,2650,6820,9436,0,30472,sunflower
15881,5146,0,0,1690,44624,0,159,sunflower
49506,521,815,339,1589,8410,40,6280,sunflower
11591,1719,0,0,2734,39598,0,22358,sunflower
44800,463,282,401,6177,13413,1,1063,sunflower
17910,106,0,18,2044,14690,3,25229,sunflower
16090,9765,2,1088,554,19157,2,13042,sunflower
15418,21046,0,3,1962,31133,0,2138,sunflower
34395,570,0,0,5429,47102,0,404,sunflower
41972,353,90,79,4675,30937,17,177,sunflower
8197,1260,84,276,2415,18336,0,56432,sunflower
6252,2228,41139,6649,1384,5163,2,4983,sunflower
18909,65,21765,2334,5186,15861,9,1271,sunflower
31728,368,4318,20712,794,10230,0,2050,sunflower
53620,16,1,0,9929,5220,63,151,sunflower
43169,539,60,77,5047,15053,7,3548,sunflower
49749,111,90,258,2983,7671,382,3256,sunflower
34016,992,11,45,6554,22169,24,3689,sunflower
40483,0,0,0,7998,10015,0,4,sunflower
21535,149,0,0,11727,49049,0,40,sunflower
35619,74,12402,27,3081,9211,4,182,sunflower
9729,972,0,18,5787,8141,0,41053,sunflower
44282,205,8759,65,4441,25117,0,231,sunflower
4285,1841,1770,17712,744,18032,4,36012,sunflower
8969,23,0,0,7045,27247,0,43716,sunflower
19807,3620,181,7103,1491,24323,0,1675,sunflower
10986,61,3,302,3851,11302,0,29295,sunflower
3919,18,0,0,2618,25366,4,43975,sunflower
4641,1191,0,0,647,6305,0,77216,sunflower
12607,55,0,0,8359,31656,0,15123,sunflower
27456,650,0,2,3314,8521,0,23057,sunflower
13475,404,5,15,52,8988,3,28958,sunflower
3340,1,7646,382,1892,27563,45,44631,sunflower
5819,2,0,0,4745,36976,0,41858,sunflower
36208,3032,70,97,13942,35232,0,219,sunflower
24002,3877,84,2678,1079,14181,4,20095,sunflower
30442,984,52,108,2737,20680,1,6196,sunflower
46010,363,13191,1511,6938,13655,6,4726,sunflower
42351,0,0,0,9504,5972,470,9503,sunflower
36454,542,0,0,6899,23480,0,125,sunflower
4955,903,0,4,6939,43719,0,1680,sunflower
10555,3188,1,77,9420,19975,0,25484,sunflower

